Symbol,DY,PB,PCYH,PCYL,PE,PEG,PS,SR,SECTOR
PIH,0.0,0.951,-0.171156,0.32028300000000004,33.1538,0.0,1.3706,0.52,Finance
FLWS,0.0,2.46,-0.10529999999999999,0.2977,27.35,1.13,0.57,6.33,Consumer Services
FCCY,1.16,1.3,-0.1727,0.4744,15.7,0.86,3.18,0.64,Finance
SRCE,1.63,1.76,-0.0872,0.5222,20.06,1.86,4.71,3.36,Finance
JOBS,0.0,3.41,-0.028300000000000002,0.5557,27.48,7.42,7.54,3.5,Technology
CAFD,7.65,1.42,-0.2151,0.18239999999999998,16.74,-28.02,5.88,6.32,Public Utilities
AVHI,0.0,0.8,-0.16620000000000001,0.40159999999999996,2.79,0.81,0.45,22.48,Capital Goods
AAON,0.71,9.06,-0.0318,0.44299999999999995,37.68,2.81,4.98,9.66,Capital Goods
ABAX,1.14,4.14,-0.1149,0.1366,34.46,6.34,4.86,22.58,Capital Goods
ABMD,0.0,13.1,-0.0031,0.4567,118.45,1.85,13.3,4.82,Health Care
ACIA,0.0,3.75,-0.6274000000000001,0.4572,14.12,-6.65,3.52,4.34,Technology
ACHC,0.0,1.65,-0.3381,0.295,245.0,1.25,1.3,11.36,Health Care
ANCX,2.12,2.45,-0.14529999999999998,0.5288,20.43,2.7,7.93,58.35,Finance
ACET,1.76,1.1,-0.4349,0.0874,28.02,1.07,0.77,11.56,Health Care
ACIW,0.0,3.56,-0.0388,0.5247999999999999,69.61,-3.54,2.71,12.39,Technology
ACNB,2.78,1.43,-0.1294,0.2484,15.81,0.0,3.46,3.5,Finance
ATVI,0.51,4.73,-0.0308,0.6595,42.76,1.63,6.49,2.58,Technology
ACTA,0.0,1.36,-0.07719999999999999,0.6472,6.68,-6.74,3.93,9.23,Technology
ACXM,0.0,2.75,-0.1477,0.2658,518.2,1.43,2.31,4.58,Technology
ADUS,0.0,2.62,-0.038,1.3686,27.72,1.58,1.05,3.02,Health Care
AEY,0.0,0.4,-0.2727,0.05,56.0,0.0,0.39,0.58,Consumer Services
ADBE,0.0,9.32,-0.0111,0.5704,54.18,1.85,11.49,2.25,Technology
ADTN,1.83,1.97,-0.16210000000000002,0.16649999999999998,26.18,12.41,1.43,3.08,Public Utilities
ADES,0.0,2.46,-0.2278,0.5233,2.09,0.07,5.88,5.57,Basic Industries
AEIS,0.0,7.03,-0.0255,1.1869,21.73,0.41,5.76,3.93,Capital Goods
AEGN,0.0,1.11,-0.2586,0.15130000000000002,17.58,3.03,0.51,3.14,Basic Industries
AGNC,10.45,0.97,-0.0415,0.1867,4.71,-9.49,4.35,3.92,Consumer Services
AGNCB,7.36,1.2486,-0.013166,0.074606,6.0423,0.0,5.5683,0.29,Consumer Services
