trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-89.84537879822032,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-92.79421468666312,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-166.62367788537216,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,2,-105.04381889713862,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-70.84055118390418,"{0: 29, 1: 2, 2: 1, 3: 2, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-27.661141074797605,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-61.22467490634488,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-46.365701299926954,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-74.27126451424708,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-75.33529923158707,"{0: 14, 1: 1, 2: 1, 3: 4, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,10,-29.50396445080729,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-12.761058863570208,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-45.6003985864029,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-9.76750554358712,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,12.70835075421377,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-34.899282927404236,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-37.67929405604021,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-85.57157367163265,"{0: 19, 1: 1, 2: 0, 3: 5, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-128.4556307531474,"{0: 24, 1: 0, 2: 0, 3: 5, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,23.16553990011121,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-41.49250375091853,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-8.522283282070733,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-2.5260252179667546,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-26.82019394627121,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-82.63851662594362,"{0: 25, 1: 0, 2: 0, 3: 5, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-0.8772834217422706,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-3.1437977177757093,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-16.999007990046806,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,17.5639497808735,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-9.718131130873592,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
