trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-150.46804598024056,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9024999999999999}",25,0,-136.06829907924325,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,0,-104.3970137437585,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",30,0,-135.46369479544867,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999998}",20,0,-95.34055837653925,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",25,14,-9.344077387749861,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",25,0,-61.23445603916544,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",30,0,-96.48795387112344,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",30,0,-123.44689370988026,"{0: 21, 1: 2, 2: 3, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383787}",25,0,-94.77062956563343,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764597}",25,0,-133.0892704209883,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626367}",25,0,-62.30180829625541,"{0: 20, 1: 0, 2: 2, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.5133420832795048}",35,0,-58.54118483878933,"{0: 29, 1: 0, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.48767497911552954}",30,0,-26.57377663626155,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.46329123015975304}",30,0,-60.63546837796402,"{0: 26, 1: 0, 2: 1, 3: 2, 4: 1}",0
