trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.649449712196,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.30393287262646,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.75993721987443,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.5749038752204,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.90952395275953,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.3197894899526,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.26136379346227,"{0: 13, 1: 0, 2: 8, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-216.49216981331554,"{0: 5, 1: 4, 2: 8, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.79117601312097,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.95393367001431,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.57458381208967,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,7,-41.50578670255967,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-98.72384789350565,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.93146734055209,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.7743487073624,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.74736750824638,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.97297737035756,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.01689366885105,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-212.5572021483553,"{0: 17, 1: 1, 2: 7, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.04894710542682,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-216.31012177721234,"{0: 20, 1: 2, 2: 8, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-101.2644661654737,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.130065061283844,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.06859580676557,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-190.62336085082455,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.87946350549507,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-195.3772243914167,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-209.09446613762668,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.29592193153165,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-89.36252469013958,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
